year,submitted_via,total
2011,Web,1456
2011,Referral,795
2011,Postal mail,47
2011,Phone,218
2011,Fax,10
2011,Email,10
2012,Web,32434
2012,Referral,27930
2012,Postal mail,4572
2012,Phone,6324
2012,Fax,959
2012,Email,154
2013,Web,60340
2013,Referral,28177
2013,Postal mail,7992
2013,Phone,9489
2013,Fax,2068
2013,Email,151
2014,Web,105558
2014,Referral,23625
2014,Postal mail,11256
2014,Phone,10268
2014,Fax,2318
2014,Email,17
2015,Web,125026
2015,Referral,21540
2015,Postal mail,9487
2015,Phone,10264
2015,Fax,2143
2015,Email,8
2016,Web,140669
2016,Referral,24004
2016,Postal mail,11872
2016,Phone,12316
2016,Fax,2592
2016,Email,8
2017,Web,197942
2017,Referral,19702
2017,Postal mail,11288
2017,Phone,11239
2017,Fax,2769
2017,Email,8
2018,Web,208935
2018,Referral,22228
2018,Postal mail,8908
2018,Phone,11729
2018,Fax,5460
2018,Email,21
2019,Web,232766
2019,Referral,19055
2019,Postal mail,7038
2019,Phone,16471
2019,Fax,1982
2019,Email,30
2020,Web,395295
2020,Referral,18459
2020,Postal mail,6785
2020,Phone,19560
2020,Fax,4242
2020,Email,16
2021,Web,457758
2021,Referral,17664
2021,Postal mail,2395
2021,Phone,17454
2021,Fax,1118
2022,Web Referral,1
2022,Web,49605
2022,Referral,1182
2022,Postal mail,601
2022,Phone,1526
2022,Email,1
