date_received,product,subproduct,issue,subissue,consumer_complaint_narrative,company_public_response,company_name,state,zip_code,tags,consumer_consent_provided,submitted_via,date_sent_to_company,company_response_to_consumer,timely_response,consumer_disputed,complaint_id
2021-12-31,Credit card or prepaid card,General-purpose prepaid card,Advertising,Changes in terms from what was offered or advertised,,,CAPITAL ONE FINANCIAL CORPORATION,OR,97301,,,Web,2021-12-31,Closed with non-monetary relief,true,,5057914
2022-01-20,Credit card or prepaid card,General-purpose prepaid card,Advertising,Confusing or misleading advertising about the card,,Company has responded to the consumer and the CFPB and chooses not to provide a public response,NETSPEND CORPORATION,CO,80204,,,Web,2022-01-20,Closed with explanation,true,,5129686
2022-01-09,"Money transfer, virtual currency, or money service",Virtual currency,Fraud or scam,,,,"Coinbase, Inc.",NY,10451,,,Web,2022-01-21,In progress,true,,5087514
2021-12-22,"Money transfer, virtual currency, or money service",Mobile or digital wallet,Fraud or scam,,,,Square Inc.,NV,89119,,,Web,2022-01-04,Closed with explanation,true,,5030934
2021-12-09,"Money transfer, virtual currency, or money service",Domestic (US) money transfer,Fraud or scam,,,,JPMORGAN CHASE & CO.,TX,77539,,,Web,2021-12-09,Closed with explanation,true,,4993435
2021-12-11,"Money transfer, virtual currency, or money service",Mobile or digital wallet,Fraud or scam,,,,"Paypal Holdings, Inc",WI,53545,,,Web,2021-12-11,Closed with explanation,true,,5000066
2022-01-19,"Money transfer, virtual currency, or money service",Mobile or digital wallet,Fraud or scam,,,,"Early Warning Services, LLC",OK,74055,,,Web,2022-01-19,Closed with explanation,true,,5126509
2022-01-06,"Money transfer, virtual currency, or money service",Virtual currency,Fraud or scam,,,,MoneyLion Inc.,NY,10028,,,Web,2022-01-06,Closed with explanation,true,,5076697
2021-12-13,"Money transfer, virtual currency, or money service",Mobile or digital wallet,Fraud or scam,,,,TD BANK US HOLDING COMPANY,NY,11209,,,Web,2021-12-13,Closed with monetary relief,true,,5004674
2022-01-30,"Money transfer, virtual currency, or money service",Mobile or digital wallet,Fraud or scam,,,,"Paypal Holdings, Inc",PA,17512,,,Web,2022-01-30,Closed with monetary relief,true,,5164985
2021-11-30,"Money transfer, virtual currency, or money service",Virtual currency,Fraud or scam,,,Company has responded to the consumer and the CFPB and chooses not to provide a public response,WELLS FARGO & COMPANY,FL,32503,Older American,,Web,2021-12-15,Closed with explanation,true,,4958726
2022-01-08,"Money transfer, virtual currency, or money service",Mobile or digital wallet,Fraud or scam,,,,"Paypal Holdings, Inc",SC,29681,,,Web,2022-01-08,Closed with explanation,true,,5083889
2022-01-07,"Money transfer, virtual currency, or money service",Virtual currency,Fraud or scam,,,,Winklevoss Exchange LLC,,,,,Web,2022-01-07,Closed with explanation,true,,5084434
2022-01-05,"Money transfer, virtual currency, or money service",Mobile or digital wallet,Fraud or scam,,,,"Early Warning Services, LLC",WI,53590,,,Web,2022-01-05,Closed with explanation,true,,5075900
2021-12-28,"Money transfer, virtual currency, or money service",International money transfer,Fraud or scam,,,,TD BANK US HOLDING COMPANY,NY,10594,Older American,,Web,2021-12-28,Closed with explanation,true,,5046881
2022-01-18,"Credit reporting, credit repair services, or other personal consumer reports",Credit repair services,Fraud or scam,,,,"John C. Heath, Attorney at Law, PLLC",CA,90805,,,Web,2022-01-18,Closed with explanation,true,,5120792
2022-01-16,"Money transfer, virtual currency, or money service",Mobile or digital wallet,Fraud or scam,,,,Chime Financial Inc,TX,77089,Servicemember,,Web,2022-01-16,In progress,true,,5113291
2021-11-25,"Money transfer, virtual currency, or money service",Virtual currency,Fraud or scam,,,,"Coinbase, Inc.",IN,46234,,,Web,2021-12-29,In progress,true,,4947964
2021-12-23,"Money transfer, virtual currency, or money service",Domestic (US) money transfer,Fraud or scam,,,,WELLS FARGO & COMPANY,FL,32819,Servicemember,,Web,2021-12-23,In progress,true,,5037251
2022-01-03,"Money transfer, virtual currency, or money service",Virtual currency,Fraud or scam,,,,"Coinbase, Inc.",FL,32259,,,Web,2022-01-18,In progress,true,,5065839
2021-12-20,"Money transfer, virtual currency, or money service",International money transfer,Fraud or scam,,,,JPMORGAN CHASE & CO.,NY,10952,,,Web,2021-12-20,Closed with explanation,true,,5027276
2022-01-12,"Money transfer, virtual currency, or money service",Domestic (US) money transfer,Fraud or scam,,,,"BANK OF AMERICA, NATIONAL ASSOCIATION",GA,31312,,,Web,2022-01-12,In progress,true,,5104350
2021-12-29,"Money transfer, virtual currency, or money service",Domestic (US) money transfer,Fraud or scam,,,,"BANK OF AMERICA, NATIONAL ASSOCIATION",NY,11226,,,Web,2021-12-29,In progress,true,,5049350
2021-12-10,"Money transfer, virtual currency, or money service",Money order,Fraud or scam,,,,FIFTH THIRD FINANCIAL CORPORATION,IL,60620,,,Web,2021-12-10,Closed with explanation,true,,4997919
2022-01-03,"Money transfer, virtual currency, or money service",Virtual currency,Fraud or scam,,,,"Coinbase, Inc.",VA,24073,Older American,,Web,2022-01-21,Closed with explanation,true,,5061058
